customer_id,event_date,content_id,content_type,topic,dwell_seconds,completed
C001,2026-01-08,R101,리서치,AI·반도체,420,true
C001,2026-02-20,V102,영상,AI·반도체,680,true
C001,2026-03-12,N103,뉴스,미국주식,155,true
C001,2026-04-08,N104,긴급시황,시장변동성,310,true
C001,2026-05-18,R105,리서치,모빌리티,360,false
C001,2026-06-10,R106,리서치,AI·반도체,525,true
C001,2026-08-14,R107,리서치,AI·반도체,610,true
C001,2026-10-03,V108,영상,ETF·분산,240,false
C002,2026-01-04,V201,영상,ETF·분산,540,true
C002,2026-02-02,G202,가이드,연금·절세,720,true
C002,2026-03-03,R203,리서치,채권,430,true
C002,2026-04-08,N204,긴급시황,시장변동성,245,true
C002,2026-05-03,G205,가이드,ETF·분산,610,true
C002,2026-07-02,G206,가이드,연금·절세,820,true
C002,2026-09-02,V207,영상,ETF·분산,590,true
C002,2026-11-03,G208,가이드,연금·절세,910,true
C003,2026-01-18,N301,뉴스,모빌리티,120,true
C003,2026-02-10,N302,뉴스,AI·반도체,135,true
C003,2026-03-05,N303,뉴스,AI·반도체,110,false
C003,2026-04-07,N304,긴급시황,시장변동성,480,true
C003,2026-04-08,V305,영상,시장변동성,390,true
C003,2026-05-03,N306,뉴스,디지털자산,145,true
C003,2026-07-19,N307,뉴스,국내주식,105,false
C003,2026-09-10,V308,영상,레버리지,310,true
C003,2026-10-20,N309,뉴스,모빌리티,130,true

